mse_base,mse_prop
1.0270916,0.69361895
2.022422,0.23563832
0.3687502,0.14415978
1.2151034,1.7930069
2.5931146,1.6195754
0.59691286,1.0697474
2.5799217,0.75112855
0.7661711,1.4733233
0.8301009,1.2314839
1.0285898,0.8229359
1.4936936,1.4266058
1.6346319,0.72912586
0.29541737,0.90460944
2.1262467,0.14941691
0.075077794,1.7162542
0.84598976,1.1087158
0.68923324,0.5003042
0.42962638,0.34889564
2.2836988,1.1131094
0.7009663,0.89130735
0.8303335,0.033264548
0.7621363,0.060656533
3.358324,0.4938827
1.4748468,2.3192058
1.0762744,0.3149709
0.3011656,0.40365097
1.4967582,0.9782185
1.0488731,0.97055197
0.97405744,1.7618568
0.7304079,0.66189444
0.6974233,0.09341916
0.594732,1.5155388
0.3336164,1.6980278
2.479736,1.462943
0.35709858,0.11383037
0.8321907,1.1187114
1.122687,2.4964998
0.833422,0.7506321
0.8638224,0.66817063
0.9324887,0.9276995
0.8915656,1.2874615
0.94455206,0.69201905
1.7161086,2.0635781
0.97148937,3.0525484
1.475686,1.4417894
1.9784309,1.3450422
0.35175508,0.53811866
1.0181937,0.45261675
0.99223894,1.6963362
1.447953,0.8267256
0.008172184,0.33065146
1.4576216,0.25923008
2.7057743,1.299998
1.2100128,1.9927495
2.4545152,1.3938657
0.75190693,0.65269685
1.418474,1.5368648
3.1121213,1.7723141
1.4260565,0.7573745
0.56766,1.747624
0.8820633,1.198361
1.440549,0.9288135
1.7957591,1.3527116
0.005698189,0.41298917
0.38342467,1.2366691
0.012763025,0.68180084
0.56037885,0.18743058
0.09168872,0.24085309
0.8830354,0.38917294
0.30009708,0.5165875
0.26747438,1.2332749
2.0711138,0.6677933
0.9848826,0.73600954
1.3638184,2.0894547
0.3604296,1.7114612
2.1484377,0.7377396
0.028369589,1.2258626
0.608559,0.6854383
0.94409156,0.6767969
0.2730404,0.5607188
1.1503769,0.652499
1.0131509,1.8789625
0.043550562,0.43406957
1.9180943,0.18885328
0.15710802,0.5379636
1.0386664,0.25502357
1.2043978,1.4169605
0.6894517,2.5696938
1.5318971,2.055557
0.82307804,1.2861586
2.373395,0.10737436
1.2425541,0.43412462
0.57242006,0.24581741
0.12442857,0.72809887
1.4608283,1.3899199
1.6826928,1.2275773
0.02269394,0.843826
0.7621958,1.1981235
0.022995237,0.6242149
1.919563,2.9502935
1.9976109,1.3193288
0.3103007,0.1604332
2.8879397,1.8830514
0.43719444,0.7205593
1.4799975,3.694507
2.5969043,1.202949
2.474063,2.5574138
1.27571,0.7866002
1.6969607,2.0892532
1.9147116,1.5801053
0.35486162,1.1995628
2.4846337,2.8811002
1.3064097,1.3777544
0.03307038,0.82816094
0.6974782,0.4978718
1.6398888,3.2095542
0.995792,2.31392
2.3016498,1.7150812
0.046187546,0.7977712
0.55148894,1.2859063
1.2331543,2.0429635
1.0492426,2.0270014
